OC-AK-Ko,
W,R
1.33,0.1229188
1.331,0.1224737
1.332,0.1228255
1.333,0.1231169
1.334,0.1228744
1.335,0.1227757
1.336,0.1229052
1.337,0.1230513
1.338,0.123089
1.339,0.1230915
1.34,0.123411
1.341,0.1232426
1.342,0.1230598
1.343,0.123139
1.344,0.1232243
1.345,0.1235927
1.346,0.1238309
1.347,0.1234864
1.348,0.1233564
1.349,0.1235801
1.35,0.1235563
1.351,0.1236199
1.352,0.1237126
1.353,0.1232432
1.354,0.1225506
1.355,0.1226626
1.356,0.1229646
1.357,0.1234014
1.358,0.1232499
1.359,0.1238728
1.36,0.1238006
1.361,0.1242003
1.362,0.1236209
1.363,0.124284
1.364,0.1243007
1.365,0.1237709
1.366,0.1242251
1.367,0.1240086
1.368,0.1240409
1.369,0.1236768
1.37,0.1241321
1.371,0.124365
1.372,0.1244683
1.373,0.1243996
1.374,0.1244288
1.375,0.1242828
1.376,0.1237157
1.377,0.1241336
1.378,0.1239508
1.379,0.1243813
1.38,0.1242668
1.381,0.1242942
1.382,0.124483
1.383,0.1243784
1.384,0.1245001
1.385,0.1246262
1.386,0.1244028
1.387,0.1247124
1.388,0.1245575
1.389,0.1251584
1.39,0.1246369
1.391,0.1249914
1.392,0.1253491
1.393,0.1246499
1.394,0.1244139
1.395,0.1245606
1.396,0.1253613
1.397,0.1255212
1.398,0.1249892
1.399,0.1247092
1.4,0.1249619
1.401,0.1253661
1.402,0.1251192
1.403,0.1253295
1.404,0.1254961
1.405,0.1257404
1.406,0.1254331
1.407,0.1254678
1.408,0.1254589
1.409,0.1256627
1.41,0.1257018
1.411,0.1254326
1.412,0.1255948
1.413,0.1257107
1.414,0.1257879
1.415,0.1257534
1.416,0.1260524
1.417,0.1262162
1.418,0.1261922
1.419,0.1265324
1.42,0.1265931
1.421,0.1259669
1.422,0.1263254
1.423,0.1262593
1.424,0.1263454
1.425,0.1266959
1.426,0.1269723
1.427,0.127001
1.428,0.1263975
1.429,0.1267315
1.43,0.1262869
1.431,0.1266315
1.432,0.1271692
1.433,0.1268504
1.434,0.1270058
1.435,0.1271438
1.436,0.1267171
1.437,0.127106
1.438,0.1269287
1.439,0.127029
1.44,0.1269479
1.441,0.1266723
1.442,0.1272394
1.443,0.1277793
1.444,0.1271196
1.445,0.1273124
1.446,0.1270892
1.447,0.1276194
1.448,0.1271853
1.449,0.1269501
1.45,0.1272003
1.451,0.1279518
1.452,0.1276362
