KC-OPX-hevn_4,
W,R
0.97631,0.26873
0.97673,0.2687
0.97715,0.2689
0.97758,0.26965
0.978,0.27001
0.97843,0.27025
0.97885,0.27078
0.97927,0.27098
0.9797,0.27158
0.98012,0.27225
0.98054,0.27297
0.98097,0.27329
0.98139,0.27433
0.98181,0.27477
0.98224,0.27556
0.98266,0.27587
0.98309,0.27659
0.98351,0.27685
0.98393,0.27744
0.98436,0.27803
0.98478,0.27832
0.9852,0.27889
0.98563,0.27915
0.98605,0.27954
0.98647,0.27995
0.9869,0.27999
0.98732,0.28038
0.98774,0.28063
0.98817,0.28071
0.98859,0.28133
0.98901,0.28181
0.98943,0.28226
0.98986,0.28246
0.99028,0.28218
0.9907,0.28277
0.99113,0.2835
0.99155,0.28361
0.99197,0.28418
0.9924,0.28474
0.99282,0.28543
0.99324,0.28585
0.99366,0.28625
0.99409,0.28686
0.99451,0.28782
0.99493,0.2882
0.99535,0.28864
0.99578,0.28958
0.9962,0.28982
0.99662,0.29038
0.99705,0.29088
0.99747,0.29127
0.99789,0.2919
0.99831,0.29182
0.99874,0.29268
0.99916,0.29297
0.99958,0.29377
1.0013,0.29574
1.0028,0.2974
1.0044,0.29904
1.006,0.30193
1.0075,0.30593
1.0091,0.30943
1.0107,0.31218
1.0122,0.31454
1.0138,0.31623
1.0154,0.31794
1.017,0.32011
1.0186,0.32233
1.0202,0.32498
1.0218,0.32789
1.0234,0.33007
1.0251,0.33196
1.0267,0.3343
1.0283,0.33652
1.0299,0.3385
1.0316,0.34132
1.0332,0.345
1.0349,0.34797
1.0365,0.34935
1.0382,0.3504
1.0399,0.35248
1.0415,0.35539
1.0432,0.35838
1.0449,0.36087
1.0466,0.36312
1.0483,0.36588
1.05,0.36905
1.0517,0.37194
1.0534,0.37387
1.0551,0.37505
1.0568,0.37669
1.0586,0.37933
1.0603,0.38226
1.062,0.38505
1.0638,0.38775
1.0655,0.38995
1.0673,0.39176
1.069,0.39388
1.0708,0.39634
1.0726,0.39889
1.0744,0.40109
1.0761,0.40257
1.0779,0.40423
1.0797,0.40668
1.0815,0.4092
1.0833,0.41133
1.0851,0.41287
1.087,0.41374
1.0888,0.41457
1.0906,0.41622
1.0925,0.41886
1.0943,0.42183
1.0962,0.42401
1.098,0.42483
1.0999,0.42547
1.1018,0.4272
1.1036,0.42947
1.1055,0.43152
1.1074,0.43347
1.1093,0.4352
1.1112,0.43614
1.1131,0.43674
1.115,0.43814
1.117,0.44033
1.1189,0.44224
1.1208,0.44322
1.1228,0.44402
1.1247,0.44553
1.1267,0.44738
1.1286,0.44925
1.1306,0.45118
1.1326,0.45281
1.1346,0.45395
1.1366,0.45499
1.1385,0.45611
1.1406,0.4569
1.1426,0.4571
1.1446,0.45745
1.1466,0.45865
1.1486,0.46009
1.1507,0.46136
1.1527,0.46293
1.1548,0.46442
1.1568,0.46487
1.1589,0.4646
1.161,0.46498
1.1631,0.46626
1.1652,0.46735
1.1673,0.46785
1.1694,0.46848
1.1715,0.46985
1.1736,0.47147
1.1757,0.47254
1.1779,0.473
1.18,0.4738
1.1822,0.47538
1.1843,0.47674
1.1865,0.47708
1.1887,0.47689
1.1909,0.4771
1.1931,0.47779
1.1953,0.47842
1.1975,0.47888
1.1997,0.47911
1.2019,0.4793
1.2042,0.48012
1.2064,0.48147
1.2086,0.48234
1.2109,0.48253
1.2132,0.48291
1.2154,0.48379
1.2177,0.48443
1.22,0.4845
1.2223,0.48463
1.2246,0.48535
1.227,0.48652
1.2293,0.48758
1.2316,0.48815
1.234,0.48868
1.2363,0.48946
1.2387,0.49008
1.2411,0.4904
1.2434,0.4904
1.2458,0.49044
1.2482,0.49071
1.2506,0.49097
1.2531,0.49125
1.2555,0.49172
1.2579,0.49233
1.2604,0.49276
1.2628,0.49294
1.2653,0.49288
1.2678,0.49263
1.2703,0.49239
1.2728,0.49242
1.2753,0.49281
1.2778,0.49337
1.2803,0.49398
1.2828,0.49461
1.2854,0.49502
1.2879,0.49538
1.2905,0.49578
1.2931,0.49557
1.2957,0.49456
1.2983,0.49387
1.3009,0.49442
1.3035,0.49579
1.3061,0.49684
1.3088,0.49691
1.3114,0.49615
1.3141,0.49527
1.3167,0.49484
1.3194,0.49464
1.3221,0.49442
1.3248,0.49433
1.3275,0.49425
1.3303,0.49394
1.333,0.493
1.3357,0.49172
1.3385,0.49073
1.3413,0.49013
1.3441,0.48973
1.3468,0.4894
1.3497,0.48878
1.3525,0.48762
1.3553,0.48611
