KC-OL-lm_0,
W,R
0.86133,0.61569
0.8619,0.61544
0.86248,0.61519
0.86305,0.61501
0.86362,0.61464
0.8642,0.61437
0.86478,0.61427
0.86535,0.61419
0.86593,0.61398
0.86651,0.61353
0.86709,0.61316
0.86767,0.61295
0.86825,0.61281
0.86883,0.61249
0.86942,0.61207
0.87,0.61193
0.87058,0.61181
0.87117,0.61159
0.87176,0.61118
0.87234,0.61085
0.87293,0.61064
0.87352,0.61026
0.87411,0.60999
0.8747,0.60981
0.87529,0.60957
0.87588,0.60936
0.87647,0.60908
0.87706,0.60877
0.87766,0.60843
0.87825,0.60798
0.87885,0.60767
0.87944,0.60759
0.88004,0.60745
0.88064,0.60709
0.88124,0.60669
0.88184,0.60623
0.88244,0.60585
0.88304,0.60574
0.88364,0.60556
0.88424,0.60514
0.88485,0.60482
0.88545,0.60471
0.88606,0.60448
0.88666,0.60392
0.88727,0.60334
0.88788,0.60287
0.88849,0.60256
0.8891,0.60241
0.88971,0.60225
0.89032,0.60199
0.89093,0.60166
0.89154,0.60122
0.89215,0.6007
0.89277,0.60019
0.89338,0.59982
0.894,0.5995
0.89462,0.59918
0.89524,0.59888
0.89585,0.59854
0.89647,0.59807
0.89709,0.5977
0.89772,0.59745
0.89834,0.59711
0.89896,0.59667
0.89958,0.59614
0.90021,0.5956
0.90083,0.59523
0.90146,0.59493
0.90209,0.59456
0.90272,0.59423
0.90335,0.59383
0.90398,0.5933
0.90461,0.59281
0.90524,0.59227
0.90587,0.59169
0.9065,0.59119
0.90714,0.59075
0.90777,0.5903
0.90841,0.58995
0.90905,0.58954
0.90968,0.58894
0.91032,0.58839
0.91096,0.58788
0.9116,0.58738
0.91225,0.58695
0.91289,0.58647
0.91353,0.58595
0.91418,0.58537
0.91482,0.58488
0.91547,0.58439
0.91611,0.58374
0.91676,0.58312
0.91741,0.5825
0.91806,0.58187
0.91871,0.58126
0.91936,0.58062
0.92001,0.58004
0.92067,0.57957
0.92132,0.57912
0.92198,0.5785
0.92263,0.57781
0.92329,0.57707
0.92395,0.57629
0.92461,0.57566
0.92527,0.57509
0.92593,0.57442
0.92659,0.57366
0.92725,0.57296
0.92792,0.57228
0.92858,0.57155
0.92925,0.57078
0.92991,0.57003
0.93058,0.56935
0.93125,0.56861
0.93192,0.56791
0.93259,0.5673
0.93326,0.56662
0.93393,0.56592
0.93461,0.56517
0.93528,0.56443
0.93596,0.56372
0.93663,0.56297
0.93731,0.5622
0.93799,0.56139
0.93867,0.56061
0.93935,0.55981
0.94003,0.55898
0.94071,0.55821
0.9414,0.55744
0.94208,0.55661
0.94276,0.5558
0.94345,0.55497
0.94414,0.55422
0.94483,0.55341
0.94551,0.55255
0.94621,0.55173
0.9469,0.55098
0.94759,0.55015
0.94828,0.54927
0.94898,0.5485
0.94967,0.54775
0.95037,0.54694
0.95106,0.54613
0.95176,0.54535
0.95246,0.54453
0.95316,0.54368
0.95386,0.54287
0.95457,0.54208
0.95527,0.54125
0.95597,0.54039
0.95668,0.53953
0.95739,0.53864
0.95809,0.53786
0.9588,0.53715
0.95951,0.5363
0.96022,0.53539
0.96094,0.53449
0.96165,0.53363
0.96236,0.53275
0.96308,0.53187
0.96379,0.53101
0.96451,0.53013
0.96523,0.52925
0.96595,0.52836
0.96667,0.52748
0.96739,0.52664
0.96811,0.52584
0.96883,0.52498
0.96956,0.52414
0.97029,0.52329
0.97101,0.52245
0.97174,0.52164
0.97247,0.52083
0.9732,0.51996
0.97393,0.51904
0.97466,0.51812
0.9754,0.51736
0.97613,0.51664
0.97687,0.51576
0.9776,0.5149
0.97834,0.51406
0.97908,0.51319
0.97982,0.51234
0.98056,0.51156
0.9813,0.51071
0.98205,0.5098
0.98279,0.50894
0.98354,0.5081
0.98428,0.50725
0.98503,0.50638
0.98578,0.50552
0.98653,0.5047
0.98728,0.50385
0.98803,0.50301
0.98879,0.50216
0.98954,0.50135
0.9903,0.50051
0.99106,0.49969
0.99181,0.4989
0.99257,0.49817
0.99333,0.49747
0.9941,0.49668
0.99486,0.49587
0.99562,0.49513
0.99639,0.49438
0.99715,0.49365
0.99792,0.49299
0.99869,0.49223
0.99946,0.49137
1.0002,0.49057
1.001,0.4899
1.0018,0.48924
1.0026,0.48856
1.0033,0.48793
1.0041,0.48729
1.0047,0.4861
1.0049,0.48665
1.0051,0.48686
1.0053,0.48577
1.0055,0.48492
1.0057,0.48541
1.0059,0.48601
1.0061,0.48613
1.0062,0.48621
1.0064,0.48601
1.0066,0.48578
1.0068,0.48588
1.007,0.48546
1.0072,0.48458
1.0074,0.48443
1.0076,0.48469
1.0078,0.48447
1.008,0.48431
1.0082,0.48501
1.0084,0.48621
1.0086,0.48671
1.0088,0.48606
1.009,0.48531
1.0092,0.48518
1.0094,0.4851
1.0096,0.48492
1.0098,0.48482
1.01,0.48457
1.0102,0.48442
1.0104,0.48492
1.0106,0.48565
1.0108,0.48554
1.011,0.48439
1.0112,0.48323
1.0114,0.48282
1.0115,0.48265
1.0117,0.48249
1.0119,0.48247
1.0121,0.48182
1.0123,0.4806
1.0125,0.48059
1.0127,0.48192
1.0129,0.48274
1.0131,0.4824
1.0133,0.48166
1.0135,0.48117
1.0137,0.4816
1.0139,0.4825
1.0141,0.48238
1.0143,0.48114
1.0145,0.4804
1.0147,0.48045
1.0149,0.48011
1.0151,0.47961
1.0153,0.48014
1.0155,0.48096
1.0157,0.48057
1.0159,0.47975
1.0161,0.47997
1.0163,0.48087
1.0165,0.48155
1.0167,0.48171
1.0169,0.48101
1.0171,0.47939
1.0173,0.4778
1.0175,0.47747
1.0177,0.47843
