OC-GS-F,
W,R
2.120127277,0.199037301
2.124770509,0.19950875
2.127092124,0.199744475
2.134064078,0.200098061
2.139870486,0.20056951
2.14335054,0.201040959
2.147998509,0.201276684
2.15264174,0.201748133
2.15728734,0.20210172
2.163091379,0.202691031
2.168904894,0.202808893
2.173550494,0.20316248
2.181687993,0.203398205
2.186333593,0.203751792
2.192147108,0.203869654
2.196795077,0.204105378
2.200279869,0.204341103
2.203764662,0.204576827
2.208412631,0.204812552
2.214223777,0.205048276
2.221198099,0.205284001
2.224680523,0.205637588
2.230494037,0.20575545
2.237465991,0.206109037
2.243281875,0.206109037
2.250258566,0.206226899
2.256064974,0.206698348
2.261880858,0.206698348
2.268859919,0.206698348
2.277002156,0.206698348
2.280486948,0.206934073
2.28746364,0.207051935
2.289787624,0.207169797
2.29559877,0.207405522
2.301409916,0.207641246
2.308379501,0.208112695
2.313032208,0.208112695
2.317684915,0.208112695
2.329304837,0.208702006
2.322332884,0.20834842
2.333955175,0.208819869
2.343255852,0.209055593
2.351393351,0.209291318
2.359528481,0.209644905
2.366505173,0.209762767
2.375801111,0.210234216
2.385101787,0.21046994
2.393239287,0.210705665
2.40021124,0.211059252
2.406020017,0.211412839
2.41299434,0.211648563
2.4199734,0.211648563
2.42810853,0.21200215
2.433922045,0.212120012
2.437404469,0.212473599
2.446698038,0.21306291
2.45367236,0.213298635
2.460646683,0.213534359
2.468784182,0.213770084
2.473432151,0.214005808
2.480401736,0.214477257
2.487376059,0.214712982
2.496681473,0.214712982
2.503660533,0.214712982
2.509471679,0.214948706
2.517609178,0.215184431
2.522250041,0.215773742
2.530389909,0.215891604
2.536205793,0.215891604
2.542021677,0.215891604
2.550156807,0.216245191
2.555970322,0.216363053
2.561783837,0.216480916
2.567597351,0.216598778
2.571082144,0.216834503
2.578054097,0.217188089
2.58153889,0.217423814
2.586189228,0.217541676
2.589678758,0.217541676
2.59549938,0.217305952
2.60247844,0.217305952
2.607133516,0.217188089
2.610623047,0.217188089
2.617604476,0.217070227
2.621089269,0.217305952
2.629229137,0.217423814
2.63504739,0.217305952
2.640865643,0.217188089
2.647847072,0.217070227
2.65483324,0.21671664
2.6571667,0.216363053
2.662982584,0.216363053
