KC-OPX-hem_1,
W,R
0.99946,0.29685
1.0002,0.29798
1.001,0.2991
1.0018,0.30022
1.0026,0.30128
1.0033,0.30238
1.0041,0.30351
1.0047,0.30475
1.0049,0.30488
1.0051,0.30465
1.0053,0.30535
1.0055,0.30571
1.0057,0.30482
1.0059,0.30401
1.0061,0.30406
1.0062,0.3049
1.0064,0.30623
1.0066,0.30672
1.0068,0.30632
1.007,0.30661
1.0072,0.30787
1.0074,0.30959
1.0076,0.31124
1.0078,0.31183
1.008,0.31133
1.0082,0.3102
1.0084,0.30833
1.0086,0.30701
1.0088,0.30779
1.009,0.30986
1.0092,0.31183
1.0094,0.313
1.0096,0.31263
1.0098,0.31148
1.01,0.31136
1.0102,0.31257
1.0104,0.31406
1.0106,0.31489
1.0108,0.31501
1.011,0.31538
1.0112,0.31595
1.0114,0.31551
1.0115,0.31424
1.0117,0.31384
1.0119,0.31521
1.0121,0.31754
1.0123,0.31903
1.0125,0.31911
1.0127,0.31889
1.0129,0.31908
1.0131,0.31982
1.0133,0.32069
1.0135,0.3202
1.0137,0.31843
1.0139,0.31778
1.0141,0.31865
1.0143,0.31923
1.0145,0.31914
1.0147,0.31923
1.0149,0.32017
1.0151,0.32175
1.0153,0.32206
1.0155,0.32011
1.0157,0.31856
1.0159,0.31991
1.0161,0.32231
1.0163,0.32263
1.0165,0.32137
1.0167,0.32156
1.0169,0.32372
1.0171,0.32561
1.0173,0.32635
1.0175,0.32664
1.0177,0.32686
1.0179,0.32753
1.0181,0.32857
1.0183,0.32857
1.0185,0.32723
1.0187,0.32603
1.0189,0.3257
1.0191,0.32595
1.0193,0.32654
1.0195,0.32716
1.0197,0.32787
1.0199,0.32889
1.0201,0.32959
1.0203,0.32924
1.0205,0.3282
1.0207,0.32711
1.0209,0.32606
1.0211,0.32551
1.0213,0.32667
1.0215,0.3295
1.0217,0.33175
1.0219,0.33203
1.0221,0.33193
1.0223,0.33302
1.0225,0.33424
1.0227,0.33437
1.0229,0.33421
1.0231,0.33476
1.0233,0.33567
