KC-OL-hm_4,
W,R
1.0098,0.50079
1.01,0.50095
1.0102,0.50126
1.0104,0.50099
1.0106,0.50106
1.0108,0.50159
1.011,0.50063
1.0112,0.49849
1.0114,0.49767
1.0115,0.4983
1.0117,0.49968
1.0119,0.50182
1.0121,0.50284
1.0123,0.50163
1.0125,0.50017
1.0127,0.49908
1.0129,0.49767
1.0131,0.49766
1.0133,0.49983
1.0135,0.50163
1.0137,0.50161
1.0139,0.50121
1.0141,0.50099
1.0143,0.49984
1.0145,0.49806
1.0147,0.49731
1.0149,0.49721
1.0151,0.4966
1.0153,0.49662
1.0155,0.4978
1.0157,0.49813
1.0159,0.49765
1.0161,0.49819
1.0163,0.49875
1.0165,0.49798
1.0167,0.4972
1.0169,0.49734
1.0171,0.49782
1.0173,0.49848
1.0175,0.49907
1.0177,0.49846
1.0179,0.49686
1.0181,0.49593
1.0183,0.49566
1.0185,0.49437
1.0187,0.49273
1.0189,0.4929
1.0191,0.49434
1.0193,0.49529
1.0195,0.49586
1.0197,0.49586
1.0199,0.49461
1.0201,0.49305
1.0203,0.49172
1.0205,0.48991
1.0207,0.48892
1.0209,0.49054
1.0211,0.49302
1.0213,0.49339
1.0215,0.49195
1.0217,0.49108
1.0219,0.49143
1.0221,0.49184
1.0223,0.49176
1.0225,0.49187
1.0227,0.49286
1.0229,0.4945
1.0231,0.49579
1.0233,0.49597
1.0235,0.49488
