KC-OL-lvn_12,
W,R
0.95246,0.23854
0.95316,0.23834
0.95386,0.23814
0.95457,0.23795
0.95527,0.23779
0.95597,0.23761
0.95668,0.23736
0.95739,0.23715
0.95809,0.237
0.9588,0.23686
0.95951,0.23671
0.96022,0.23654
0.96094,0.23633
0.96165,0.23616
0.96236,0.23595
0.96308,0.23572
0.96379,0.23551
0.96451,0.23534
0.96523,0.23516
0.96595,0.23495
0.96667,0.23476
0.96739,0.23459
0.96811,0.23446
0.96883,0.23427
0.96956,0.23405
0.97029,0.23384
0.97101,0.23363
0.97174,0.23343
0.97247,0.23322
0.9732,0.23305
0.97393,0.23289
0.97466,0.23272
0.9754,0.23255
0.97613,0.23237
0.97687,0.23215
0.9776,0.23194
0.97834,0.23174
0.97908,0.23153
0.97982,0.23132
0.98056,0.23117
0.9813,0.23102
0.98205,0.23079
0.98279,0.23052
0.98354,0.23027
0.98428,0.23008
0.98503,0.22993
0.98578,0.22977
0.98653,0.22959
0.98728,0.22943
0.98803,0.22928
0.98879,0.22909
0.98954,0.22889
0.9903,0.22867
0.99106,0.22846
0.99181,0.22829
0.99257,0.22815
0.99333,0.22799
0.9941,0.22781
0.99486,0.22763
0.99562,0.22741
0.99639,0.22721
0.99715,0.22703
0.99792,0.22689
0.99869,0.22675
0.99946,0.2266
1.0002,0.22644
1.001,0.22625
1.0018,0.22609
1.0026,0.22594
1.0033,0.22579
1.0041,0.22567
1.0047,0.22538
1.0049,0.22566
1.0051,0.22612
1.0053,0.22629
1.0055,0.22599
1.0057,0.2256
1.0059,0.22565
1.0061,0.22607
1.0062,0.22629
1.0064,0.22623
1.0066,0.22611
1.0068,0.22596
1.007,0.22584
1.0072,0.22574
1.0074,0.22547
1.0076,0.22514
1.0078,0.22502
1.008,0.22505
1.0082,0.22507
1.0084,0.22509
1.0086,0.22508
1.0088,0.22507
1.009,0.22509
1.0092,0.22507
1.0094,0.22502
1.0096,0.22499
1.0098,0.22493
1.01,0.22488
1.0102,0.2249
1.0104,0.22484
1.0106,0.22478
1.0108,0.22489
1.011,0.22507
1.0112,0.22523
1.0114,0.22527
1.0115,0.22511
1.0117,0.22505
1.0119,0.22524
1.0121,0.22525
1.0123,0.22487
1.0125,0.22447
1.0127,0.22429
1.0129,0.2243
1.0131,0.22439
1.0133,0.22437
1.0135,0.22432
1.0137,0.2245
1.0139,0.22476
1.0141,0.22475
1.0143,0.2244
1.0145,0.22409
1.0147,0.22413
1.0149,0.22433
1.0151,0.2244
1.0153,0.22439
1.0155,0.22435
1.0157,0.22421
1.0159,0.22409
1.0161,0.2241
1.0163,0.22414
1.0165,0.22416
1.0167,0.22417
1.0169,0.22403
1.0171,0.22375
1.0173,0.22359
1.0175,0.22364
1.0177,0.22356
1.0179,0.22334
1.0181,0.22338
1.0183,0.22365
1.0185,0.22377
1.0187,0.22381
1.0189,0.2239
1.0191,0.22386
1.0193,0.22382
1.0195,0.22402
1.0197,0.2242
1.0199,0.22395
1.0201,0.22349
1.0203,0.22338
1.0205,0.22365
1.0207,0.22385
1.0209,0.2238
1.0211,0.22369
1.0213,0.22353
1.0215,0.22341
1.0217,0.22356
1.0219,0.22381
1.0221,0.22388
1.0223,0.22385
1.0225,0.22379
1.0227,0.2237
1.0229,0.22366
1.0231,0.22355
1.0233,0.22325
1.0235,0.22304
