KC-Ol-arvn_1,
W,R
1.6443,0.80892
1.6484,0.81012
1.6526,0.81132
1.6569,0.81246
1.6611,0.81319
1.6654,0.81365
1.6697,0.8144
1.674,0.81554
1.6783,0.8165
1.6827,0.81736
1.6871,0.81838
1.6915,0.81939
1.6959,0.82018
1.7004,0.821
1.7048,0.82213
1.7093,0.82338
1.7138,0.82427
1.7184,0.8246
1.723,0.82448
1.7276,0.82465
1.7322,0.82538
1.7368,0.82626
1.7415,0.82702
1.7462,0.82796
1.7509,0.82894
1.7556,0.82959
1.7604,0.83004
1.7652,0.83054
1.77,0.83122
1.7749,0.83178
1.7798,0.83203
1.7847,0.83183
1.7896,0.83173
1.7946,0.83197
1.7995,0.83218
1.8046,0.83249
1.8096,0.83345
1.8147,0.83456
1.8198,0.83482
1.8249,0.83442
1.83,0.83426
1.8352,0.83483
1.8404,0.83559
1.8457,0.83559
1.851,0.83489
1.8563,0.83396
1.8616,0.83404
1.867,0.83546
1.8724,0.83615
1.8778,0.83496
1.8832,0.83356
1.8887,0.83306
1.8943,0.83325
1.8998,0.83415
1.9054,0.83548
1.911,0.83658
1.9167,0.83699
1.9224,0.83626
1.9281,0.83454
1.9338,0.83265
1.9396,0.83118
1.9454,0.8298
1.9513,0.82858
1.9572,0.82783
1.9631,0.82762
1.9691,0.82756
1.9751,0.82738
1.9811,0.82712
1.9872,0.82661
1.9933,0.8261
1.9995,0.82488
2.0057,0.82416
2.0119,0.82423
2.0182,0.82544
2.0245,0.82688
2.0308,0.82782
2.0372,0.82822
2.0436,0.82846
2.0501,0.82862
2.0566,0.82873
2.0632,0.82881
2.0698,0.82869
2.0764,0.82879
2.0831,0.82946
2.0898,0.83078
2.0966,0.83195
2.1034,0.83274
2.1102,0.83311
2.1171,0.83327
2.124,0.83309
