BRU_LE2CPX,
W,R
1.392,0.73122
1.393,0.731279
1.394,0.731645
1.395,0.732236
1.396,0.732245
1.397,0.732413
1.398,0.732993
1.399,0.733464
1.4,0.733646
1.401,0.733755
1.402,0.733904
1.403,0.734367
1.404,0.734803
1.405,0.734949
1.406,0.735032
1.407,0.735205
1.408,0.735821
1.409,0.735837
1.41,0.73577
1.411,0.736109
1.412,0.736403
1.413,0.736844
1.414,0.73684
1.415,0.737339
1.416,0.73761
1.417,0.737451
1.418,0.738236
1.419,0.73878
1.42,0.73875
1.421,0.739378
1.422,0.739963
1.423,0.739591
1.424,0.740129
1.425,0.740775
1.426,0.741042
1.427,0.741315
1.428,0.741982
1.429,0.742204
1.43,0.742581
1.431,0.742856
1.432,0.743351
1.433,0.743679
1.434,0.744064
1.435,0.744325
1.436,0.745218
1.437,0.745715
1.438,0.745655
1.439,0.745853
1.44,0.746212
1.441,0.746796
1.442,0.746808
1.443,0.747431
1.444,0.747964
1.445,0.748416
1.446,0.748884
1.447,0.749529
1.448,0.749812
1.449,0.749711
1.45,0.749994
1.451,0.750063
1.452,0.750171
1.453,0.750565
1.454,0.751381
1.455,0.751898
1.456,0.7526
1.457,0.752779
1.458,0.753396
1.459,0.75369
1.46,0.753543
1.461,0.753548
1.462,0.754175
1.463,0.754405
1.464,0.754481
1.465,0.754736
1.466,0.755731
1.467,0.755832
1.468,0.755615
1.469,0.755914
1.47,0.757065
1.471,0.757196
1.472,0.757894
1.473,0.758156
1.474,0.758117
1.475,0.758652
1.476,0.759054
1.477,0.760216
1.478,0.760022
1.479,0.761053
1.48,0.760268
1.481,0.760713
1.482,0.761165
1.483,0.761508
1.484,0.76105
1.485,0.761837
1.486,0.762541
1.487,0.762866
1.488,0.7633
1.489,0.764024
1.49,0.764648
1.491,0.764615
1.492,0.764068
1.493,0.764714
1.494,0.765494
1.495,0.765469
1.496,0.765507
1.497,0.766249
1.498,0.766537
1.499,0.766379
1.5,0.767617
1.501,0.767177
1.502,0.768131
1.503,0.76772
1.504,0.768166
1.505,0.768436
1.506,0.768538
1.507,0.768975
1.508,0.769479
1.509,0.769489
1.51,0.770043
1.511,0.769763
1.512,0.770467
1.513,0.770512
1.514,0.771241
1.515,0.772181
1.516,0.771582
1.517,0.771691
1.518,0.772028
1.519,0.773281
1.52,0.772946
1.521,0.773417
1.522,0.773485
1.523,0.774281
1.524,0.774813
1.525,0.774774
1.526,0.775075
1.527,0.775384
1.528,0.776077
1.529,0.774932
1.53,0.775959
1.531,0.776377
1.532,0.776351
1.533,0.776881
1.534,0.777088
1.535,0.777334
1.536,0.778202
1.537,0.778853
1.538,0.778776
1.539,0.778454
1.54,0.779642
1.541,0.779601
1.542,0.779871
1.543,0.779624
1.544,0.779873
1.545,0.780531
1.546,0.780985
1.547,0.780798
1.548,0.781055
1.549,0.781706
1.55,0.78141
1.551,0.781569
1.552,0.782183
1.553,0.782394
1.554,0.782571
1.555,0.782825
1.556,0.783111
1.557,0.78379
1.558,0.784413
1.559,0.784948
1.56,0.785202
1.561,0.784913
1.562,0.785203
1.563,0.784828
1.564,0.785024
1.565,0.785628
1.566,0.785762
1.567,0.786174
1.568,0.786114
1.569,0.786181
1.57,0.786932
1.571,0.787504
1.572,0.788573
1.573,0.788396
1.574,0.788481
