KC_OL_arm_1,
W,R
0.75851,0.53927
0.75896,0.53987
0.7594,0.54041
0.75985,0.53972
0.76029,0.53913
0.76074,0.53973
0.76119,0.54036
0.76163,0.53969
0.76208,0.53853
0.76253,0.53822
0.76298,0.5382
0.76343,0.53785
0.76388,0.53736
0.76433,0.53716
0.76478,0.53742
0.76523,0.53709
0.76568,0.53626
0.76614,0.53623
0.76659,0.53646
0.76704,0.53628
0.7675,0.53609
0.76795,0.5358
0.76841,0.53506
0.76886,0.53454
0.76932,0.53457
0.76977,0.53394
0.77023,0.53318
0.77069,0.53326
0.77115,0.53321
0.77161,0.53318
0.77207,0.53358
0.77253,0.53375
0.77299,0.53352
0.77345,0.53301
0.77391,0.53274
0.77437,0.5329
0.77484,0.53308
0.7753,0.53261
0.77576,0.53141
0.77623,0.53076
0.77669,0.53127
0.77716,0.53175
0.77762,0.53161
0.77809,0.5315
0.77856,0.53081
0.77903,0.53006
0.7795,0.53012
0.77996,0.52945
0.78043,0.52863
0.7809,0.52901
0.78138,0.52957
0.78185,0.52969
0.78232,0.52945
0.78279,0.52848
0.78326,0.52736
0.78374,0.52709
0.78421,0.52728
0.78469,0.52755
0.78516,0.52759
0.78564,0.52724
0.78611,0.52694
0.78659,0.5267
0.78707,0.52662
0.78755,0.52657
0.78803,0.52616
0.7885,0.52527
0.78898,0.52465
0.78946,0.52456
0.78995,0.52451
0.79043,0.52449
0.79091,0.52427
0.79139,0.52418
0.79188,0.52422
0.79236,0.52376
0.79284,0.52292
0.79333,0.5229
0.79382,0.52372
0.7943,0.52334
0.79479,0.52195
0.79528,0.52136
0.79576,0.52164
0.79625,0.52185
0.79674,0.52147
0.79723,0.52082
0.79772,0.51995
0.79822,0.51945
0.79871,0.51929
0.7992,0.51903
0.79969,0.51931
0.80019,0.51943
0.80068,0.51917
0.80117,0.51912
0.80167,0.51926
0.80217,0.51936
0.80266,0.51881
0.80316,0.51824
0.80366,0.51825
0.80416,0.51841
0.80466,0.51834
0.80516,0.51781
0.80566,0.51748
0.80616,0.51733
0.80666,0.51682
0.80716,0.51651
0.80766,0.51654
0.80817,0.51656
0.80867,0.51647
0.80918,0.51634
0.80968,0.51624
0.81019,0.51625
0.81069,0.51616
0.8112,0.51532
0.81171,0.51446
0.81222,0.51439
0.81273,0.5143
0.81324,0.51424
0.81375,0.51445
0.81426,0.51436
0.81477,0.51438
0.81528,0.5146
0.8158,0.51413
0.81631,0.5132
0.81682,0.5127
0.81734,0.51275
0.81786,0.51307
0.81837,0.51309
0.81889,0.51304
0.81941,0.51354
0.81992,0.51354
0.82044,0.51257
0.82096,0.51179
0.82148,0.51157
0.822,0.51162
0.82253,0.51158
0.82305,0.51139
0.82357,0.51149
0.82409,0.51151
0.82462,0.51109
0.82514,0.51094
0.82567,0.51117
0.8262,0.51134
0.82672,0.51126
0.82725,0.51086
0.82778,0.51032
0.82831,0.51011
0.82884,0.51034
0.82937,0.51051
0.8299,0.51064
0.83043,0.51027
0.83096,0.50938
0.8315,0.50885
0.83203,0.50854
0.83256,0.50846
0.8331,0.50851
0.83363,0.50829
0.83417,0.50815
0.83471,0.50828
0.83525,0.50826
0.83578,0.50773
0.83632,0.50736
0.83686,0.50722
0.8374,0.50706
0.83794,0.50723
0.83849,0.50695
0.83903,0.50669
0.83957,0.50724
0.84012,0.50729
0.84066,0.50674
0.84121,0.50652
0.84175,0.50653
0.8423,0.50659
0.84285,0.50657
0.8434,0.50638
0.84395,0.50624
0.8445,0.50633
0.84505,0.50622
0.8456,0.50608
0.84615,0.50615
0.8467,0.50617
0.84726,0.50588
0.84781,0.5054
0.84836,0.50544
0.84892,0.50558
0.84948,0.50548
0.85003,0.50548
0.85059,0.50539
0.85115,0.50543
0.85171,0.50523
0.85227,0.50486
0.85283,0.505
0.85339,0.50512
0.85395,0.50491
0.85452,0.50459
0.85508,0.5044
0.85564,0.50456
0.85621,0.50455
0.85678,0.50396
0.85734,0.50349
0.85791,0.50372
0.85848,0.50405
0.85905,0.50371
0.85962,0.50293
0.86019,0.50265
0.86076,0.50287
0.86133,0.50319
0.8619,0.5035
0.86248,0.50349
0.86305,0.50337
0.86362,0.50318
0.8642,0.50313
0.86478,0.50326
0.86535,0.50341
0.86593,0.50332
0.86651,0.50302
0.86709,0.50284
0.86767,0.50259
0.86825,0.50239
0.86883,0.50236
0.86942,0.50218
0.87,0.50196
0.87058,0.50189
0.87117,0.5018
0.87176,0.50169
0.87234,0.50176
0.87293,0.50177
0.87352,0.50159
0.87411,0.50147
0.8747,0.50153
0.87529,0.50166
0.87588,0.50152
0.87647,0.50113
0.87706,0.50091
0.87766,0.5008
0.87825,0.5006
0.87885,0.5005
0.87944,0.50053
0.88004,0.50056
0.88064,0.5007
0.88124,0.50074
0.88184,0.50053
0.88244,0.50047
0.88304,0.50053
0.88364,0.50038
0.88424,0.50016
0.88485,0.49999
0.88545,0.49992
0.88606,0.49985
0.88666,0.49957
0.88727,0.49925
0.88788,0.49899
0.88849,0.4989
0.8891,0.49888
0.88971,0.49884
0.89032,0.49881
0.89093,0.49871
0.89154,0.49844
0.89215,0.4983
0.89277,0.49828
0.89338,0.49801
0.894,0.49761
0.89462,0.49747
0.89524,0.49733
0.89585,0.49711
0.89647,0.49691
0.89709,0.49677
0.89772,0.49667
0.89834,0.49647
0.89896,0.49634
0.89958,0.49628
0.90021,0.49603
0.90083,0.49577
0.90146,0.49568
0.90209,0.49549
0.90272,0.49515
0.90335,0.49485
0.90398,0.49463
0.90461,0.4945
0.90524,0.49433
0.90587,0.49407
0.9065,0.49393
0.90714,0.4938
0.90777,0.49362
0.90841,0.49346
0.90905,0.49318
0.90968,0.49277
0.91032,0.49245
0.91096,0.49225
0.9116,0.49203
0.91225,0.49172
0.91289,0.49146
0.91353,0.49118
0.91418,0.49079
0.91482,0.49044
0.91547,0.49018
0.91611,0.48992
0.91676,0.48969
0.91741,0.48945
0.91806,0.48918
0.91871,0.48889
0.91936,0.48865
0.92001,0.48839
0.92067,0.48809
0.92132,0.48776
0.92198,0.48736
0.92263,0.48693
0.92329,0.48643
0.92395,0.48586
0.92461,0.48534
0.92527,0.48493
0.92593,0.48467
0.92659,0.48444
0.92725,0.48427
0.92792,0.48404
0.92858,0.48356
0.92925,0.48305
0.92991,0.48268
0.93058,0.48238
0.93125,0.48204
0.93192,0.48169
0.93259,0.48139
0.93326,0.48098
0.93393,0.48045
0.93461,0.47993
0.93528,0.47951
0.93596,0.47906
0.93663,0.47864
0.93731,0.4783
0.93799,0.4779
0.93867,0.47746
0.93935,0.477
0.94003,0.47653
0.94071,0.47605
0.9414,0.47557
0.94208,0.47516
0.94276,0.47474
0.94345,0.47417
0.94414,0.47367
0.94483,0.47323
0.94551,0.47276
0.94621,0.47229
0.9469,0.47184
0.94759,0.4713
0.94828,0.47068
0.94898,0.47005
0.94967,0.46946
0.95037,0.46901
0.95106,0.4686
0.95176,0.46813
0.95246,0.46751
0.95316,0.46683
0.95386,0.46625
0.95457,0.46574
0.95527,0.4653
0.95597,0.46479
0.95668,0.46416
0.95739,0.46359
0.95809,0.46314
0.9588,0.46271
0.95951,0.46223
0.96022,0.46159
0.96094,0.46092
0.96165,0.46044
0.96236,0.45999
0.96308,0.45948
0.96379,0.45896
0.96451,0.45845
0.96523,0.45792
0.96595,0.45741
0.96667,0.45697
0.96739,0.45654
0.96811,0.45608
0.96883,0.45554
0.96956,0.45497
0.97029,0.45441
0.97101,0.45377
0.97174,0.45308
0.97247,0.45255
0.9732,0.45213
0.97393,0.45162
0.97466,0.4511
0.9754,0.45067
0.97613,0.45029
0.97687,0.44967
0.9776,0.44897
0.97834,0.44845
0.97908,0.44799
0.97982,0.44744
0.98056,0.44689
0.9813,0.44638
0.98205,0.44581
0.98279,0.44517
0.98354,0.44458
0.98428,0.44407
0.98503,0.44354
0.98578,0.44295
0.98653,0.44242
0.98728,0.44201
0.98803,0.44152
0.98879,0.44087
0.98954,0.4403
0.9903,0.43976
0.99106,0.43918
0.99181,0.43857
0.99257,0.43802
0.99333,0.43755
0.9941,0.43703
0.99486,0.43648
0.99562,0.43598
0.99639,0.43544
0.99715,0.43492
0.99792,0.4345
0.99869,0.43403
0.99946,0.43351
1.0002,0.43295
1.001,0.43248
1.0018,0.4321
1.0026,0.43168
1.0033,0.43125
1.0041,0.43078
1.0047,0.43415
1.0049,0.43225
1.0051,0.42912
1.0053,0.4275
1.0055,0.42801
1.0057,0.42935
1.0059,0.43002
1.0061,0.42994
1.0062,0.42956
1.0064,0.42886
1.0066,0.42869
1.0068,0.42922
1.007,0.42863
1.0072,0.42705
1.0074,0.42688
1.0076,0.42796
1.0078,0.42825
1.008,0.42733
1.0082,0.426
1.0084,0.42541
1.0086,0.42641
1.0088,0.42784
1.009,0.42784
1.0092,0.42675
1.0094,0.42613
1.0096,0.42602
1.0098,0.42551
1.01,0.42539
1.0102,0.42697
1.0104,0.42898
1.0106,0.42911
1.0108,0.42747
1.011,0.42579
1.0112,0.42494
1.0114,0.42471
1.0115,0.42454
1.0117,0.42465
1.0119,0.42527
1.0121,0.42542
1.0123,0.42497
1.0125,0.42503
1.0127,0.42533
1.0129,0.42514
1.0131,0.4253
1.0133,0.42565
1.0135,0.42535
1.0137,0.42548
1.0139,0.42661
1.0141,0.42734
1.0143,0.42741
1.0145,0.42759
1.0147,0.42733
1.0149,0.42657
1.0151,0.4265
1.0153,0.42711
1.0155,0.42708
1.0157,0.42595
1.0159,0.42486
1.0161,0.42521
1.0163,0.42684
1.0165,0.42785
1.0167,0.42694
1.0169,0.42486
1.0171,0.42324
1.0173,0.42326
1.0175,0.42466
1.0177,0.42586
1.0179,0.42585
1.0181,0.4251
1.0183,0.42402
1.0185,0.42257
1.0187,0.42158
1.0189,0.4221
1.0191,0.42383
1.0193,0.42533
1.0195,0.42558
1.0197,0.42471
1.0199,0.42333
1.0201,0.4223
1.0203,0.42252
1.0205,0.42351
1.0207,0.42373
1.0209,0.42313
1.0211,0.42306
1.0213,0.42351
1.0215,0.42353
1.0217,0.42307
1.0219,0.42281
1.0221,0.42312
1.0223,0.42372
1.0225,0.42426
1.0227,0.42466
1.0229,0.42435
1.0231,0.42291
1.0233,0.42176
1.0235,0.42181
